Merchant,Country,Location,Day,Local Time,Local Currency,Local Currency Transaction Value,Card Currency,Payment Amount,Margin Income F,Margin Income A
AlphaPay,UK,London,Wednesday,6:00,GBP,275.85,USD,250.77,2.51,7.52
GlobalMart,Singapore,Singapore,Thursday,11:00,SGD,305.59,AED,75.45,0.75,2.26
PaySphere,Vietnam,Ho Chi Minh City,Friday,17:00,VND,270.95,USD,246.31,2.46,7.39
QuickServe,Switzerland,Geneva,Friday,13:00,CHF,403.15,AUD,244.33,2.44,7.33
FinEdge,Spain,Barcelona,Tuesday,23:00,EUR,77.87,GBP,91.61,0.92,2.75
Transactly,UAE,Dubai,Tuesday,0:00,AED,23.62,USD,21.47,0.21,0.64
Cashwave,Germany,Munich,Friday,19:00,EUR,335.46,USD,304.96,3.05,9.15
NeoCommerce,Spain,Zaragoza,Friday,10:00,EUR,462.28,GBP,543.86,5.44,16.32
EuroLink,UK,London,Wednesday,13:00,GBP,183.23,AED,45.24,0.45,1.36
SmartFunds,Italy,Rome,Thursday,9:00,EUR,229.92,USD,209.02,2.09,6.27
TradeNova,USA,Los Angeles,Tuesday,9:00,USD,412.3,GBP,485.06,4.85,14.55
NovaPay,UAE,Dubai,Tuesday,10:00,AED,397.66,USD,361.51,3.62,10.85
BuyNet,Malaysia,Johor Bahru,Saturday,15:00,MYR,142.96,USD,129.96,1.3,3.9
FlexiPay,Vietnam,Hanoi,Thursday,14:00,VND,127.03,AUD,76.99,0.77,2.31
MerchantX,India,Hyderabad,Sunday,17:00,INR,341.61,AUD,207.04,2.07,6.21
AlphaPay,Denmark,Aarhus,Saturday,10:00,DKK,425.99,AED,105.18,1.05,3.16
GlobalMart,Canada,Montreal,Friday,11:00,CAD,395.25,USD,359.32,3.59,10.78
PaySphere,France,Marseille,Saturday,11:00,EUR,182.45,AUD,110.58,1.11,3.32
QuickServe,Australia,Newcastle,Saturday,5:00,AUD,150.3,AED,37.11,0.37,1.11
FinEdge,Brazil,Salvador,Thursday,10:00,BRL,492.38,EUR,492.38,4.92,14.77
Transactly,Germany,Bremen,Friday,14:00,EUR,338.43,AUD,205.11,2.05,6.15
Cashwave,Germany,Cologne,Thursday,11:00,EUR,490.7,AED,121.16,1.21,3.63
NeoCommerce,Germany,Stuttgart,Tuesday,9:00,EUR,107.2,GBP,126.12,1.26,3.78
EuroLink,Spain,Las Palmas,Friday,10:00,EUR,1284.02,GBP,1510.61,15.11,45.32
SmartFunds,Brazil,Rio de Janeiro,Monday,17:00,BRL,361.4,AUD,219.03,2.19,6.57
TradeNova,Sweden,Gothenburg,Thursday,13:00,SEK,378.93,GBP,445.8,4.46,13.37
NovaPay,Germany,Leipzig,Saturday,21:00,EUR,380.06,GBP,447.13,4.47,13.41
BuyNet,Italy,Florence,Tuesday,9:00,EUR,64.79,GBP,76.23,0.76,2.29
FlexiPay,Switzerland,Basel,Wednesday,12:00,CHF,282.98,AUD,171.5,1.72,5.14
